id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
6807,The Code Hotel,8,Spagna,Very Good,984,627,1.1,Small Double Room,4,Not included
6808,Cressy,7.3,CentralStation,Good,557,158,1.7,Bed in 5-Bed Female Dormitory Room,1,Not included
6809,Relais Roma Vaticano - METRO station Ottaviano,9.1,VaticanoPrati,Wonderful,121,518,2.6,Double Room,0,Breakfast included
6810,Roma sogno infinito,8.9,CentralStation,Excellent,795,403,1.6,Deluxe Room,3,Not included
6811,Titina Suites Apartment Rome,0,AppioLatino,Not calified,0,556,5.1,Double Room with Private Bathroom,3,Not included
6812,Domus Terenzio,9.1,VaticanoPrati,Wonderful,522,489,2,Deluxe Triple Room,0,Breakfast included
6813,Oscar 2,6.4,CentralStation,Review score,496,228,1.5,Deluxe Double Room,3,Not included
6814,Bon Ton Suite,7.9,CentralStation,Good,307,553,2,Quadruple Room,3,Not included
6815,B&B Cineroma,8.3,MonteSacro,Very Good,205,246,5.4,Deluxe Room,3,Not included
6816,I Fiumi Di Navona,8.4,Navona,Very Good,248,809,0.9,Standard Double Room,4,Not included
6817,Hotel Dorica,8.3,RioneMonti,Very Good,514,425,1.1,Double or Twin Room,3,Not included
6818,Navona Charme Suite,8.6,Navona,Excellent,326,686,1,Deluxe Room,3,Not included
6819,Viennese Due,5.4,CentralStation,Review score,954,228,1.9,Single Room,0,Breakfast included
6820,La Vite Vaticana,8.8,VaticanoPrati,Excellent,292,348,2.5,Standard Double Room,3,Not included
6821,Hotel Mascagni,8.3,CentralStation,Very Good,1427,886,1.3,Partner offer option,4,Breakfast included
6822,MIGDAL Luxury Suites Roma Testaccio,8.8,Aventino,Excellent,31,511,2,Deluxe Double or Twin Room,0,Not included
6823,XXIV Domus Luxury Suites,8.8,VaticanoPrati,Excellent,574,1167,2,Superior Double Room,4,Not included
6824,DAB Guest House,8.6,ViaVeneto,Excellent,189,498,2,Budget Double Room,3,Not included
6825,Excellence Suite,8.3,ViaVeneto,Very Good,1045,480,1.1,Deluxe Double or Twin Room,3,Not included
